,polymer,mean(ni),standard_deviation(ni),Median(ni),mean(nid),standard_deviation(nid),Median(nid)
197,PP,0.003760059,0.00163865,0.003306781,0.001480641,0.267440435,0.002068252
198,PP,0.003814238,0.001649366,0.003361716,0.000884819,0.264275751,0.001233553
199,PP,0.003678293,0.001725265,0.003195385,0.001859591,0.276993559,0.001009083
200,PS,0.003852608,0.00163902,0.003399866,0.003999811,0.262312537,0.005003872
201,PS,0.003816646,0.001637751,0.003363242,0.004320484,0.264262514,0.00540967
202,PS,0.003902668,0.001635031,0.003450223,0.003827467,0.259095444,0.004813478
203,PS,0.003941038,0.001732262,0.003448697,0.002845061,0.259820799,0.003709592
204,PS,0.00382184,0.001639646,0.003369346,0.002558026,0.264067393,0.003338247
205,PS,0.00372576,0.001638647,0.00327321,0.004739636,0.269538355,0.005850092
206,PS,0.004143808,0.001631987,0.003694378,-0.003421919,0.246306437,-0.003571227
207,PS,0.003908462,0.001633106,0.003457853,-7.42E-05,0.258422143,0.000476417
208,PS,0.003877196,0.001635403,0.003425807,0.000872084,0.260354536,0.001296177
209,PS,0.004409521,0.001809669,0.003874443,-0.010295657,0.237932152,-0.015699123
210,PS,0.003771491,0.001637304,0.003318989,0.001694476,0.26654241,0.002457002
211,PS,0.003908665,0.001633189,0.003457853,0.00034418,0.258324929,0.000767165
212,PS,0.003957045,0.001637151,0.003506684,0.000189423,0.2560541,0.00058072
213,PS,0.003870787,0.001626532,0.003425807,0.001093178,0.258764743,0.001494768
214,PS,0.003857971,0.001636698,0.003407496,0.001234126,0.261553263,0.001742666
215,PS,0.003842875,0.001636911,0.00339071,0.000563345,0.262309394,0.000978474
216,PS,0.003832714,0.00163164,0.00338308,0.000990278,0.262090702,0.001481481
217,PS,0.003996147,0.001631828,0.003544833,-0.000895006,0.253521969,-0.000643501
218,PS,0.00435318,0.001617662,0.003908014,-0.002853721,0.235165363,-0.002884615
219,PS,0.004198101,0.001630458,0.003752365,0.000286943,0.243539968,0.000530504
220,PS,0.003714663,0.001627888,0.003264054,0.005630319,0.268624186,0.006993007
221,PS,0.003890186,0.001635533,0.003438015,0.002837804,0.259862119,0.003638018
222,PS,0.003679787,0.0016419,0.003227431,0.005978881,0.272829667,0.007428895
223,PS,0.003890588,0.001633487,0.003439541,0.002448908,0.2595731,0.003121284
224,PS,0.0037299,0.00163674,0.003279314,0.003021559,0.268590799,0.004012036
225,PS,0.003901303,0.001635555,0.003451749,0.000196356,0.258963301,0.000552792
226,PS,0.003933078,0.001626305,0.00348532,0.001533948,0.255724853,0.002210895
227,PS,0.003795424,0.001636492,0.003343405,0.001709447,0.265004421,0.002283627
228,PS,0.003683611,0.001632185,0.003232009,0.004328691,0.271122331,0.005314303
229,PS,0.00369597,0.001643879,0.003245743,0.00417387,0.271421265,0.005114495
230,PS,0.004019998,0.001624966,0.003569249,-0.000598294,0.251402609,0
231,PS,0.003775459,0.001637042,0.003323567,0.004211438,0.266348575,0.005196733
232,PS,0.003786188,0.001638442,0.003334249,0.003796814,0.265721715,0.004813741
233,PS,0.003745458,0.001636498,0.003293048,0.005277222,0.268086851,0.0065434
234,PS,0.004037254,0.001661716,0.003573827,-0.003649114,0.252173096,-0.004307987
235,PS,0.003793301,0.001628939,0.003346457,0.001468254,0.263122482,0.001876173
236,PS,0.003883525,0.001635103,0.003431911,0.001325772,0.259954651,0.001802885
237,PS,0.003943165,0.001634042,0.00349295,-0.000849271,0.256446227,-0.000573066
238,PS,0.003805804,0.001634431,0.003352561,0.001258719,0.263991004,0.001609788
239,PS,0.003822275,0.001645944,0.003366294,0.000626825,0.263621578,0.001156738
240,PS,0.003745092,0.001635871,0.003293048,0.003014822,0.267997729,0.003828406
241,PS,0.003730198,0.001631085,0.003279314,0.002166751,0.268012183,0.00280112
242,PS,0.00381033,0.001634063,0.003358664,0.001914486,0.263894416,0.002692515
243,PS,0.003944966,0.001634108,0.003494476,-0.000614737,0.256557445,-0.000498505
244,PS,0.004030936,0.001630015,0.003581456,-0.002456738,0.251577828,-0.002446185
245,PS,0.003834423,0.0016452,0.003381554,0.004327455,0.263793165,0.005317263
246,PS,0.00403422,0.001633443,0.003582982,0.000663393,0.252035239,0.001077586
247,PS,0.003802281,0.001637113,0.003351035,0.002437647,0.26383257,0.00298107
248,PS,0.003949321,0.001634871,0.003497528,0.000665881,0.25648796,0.00120048
249,PS,0.005329039,0.006822249,0.003447171,-0.000685549,0.258826014,-0.005444431
250,POM,0.018641533,0.006262129,0.018616859,-0.055351004,0.153217182,-0.06063978
251,POM,0.012588303,0.00340711,0.011640115,-0.052050574,0.184978414,-0.057647059
252,POM,0.011850545,0.003414941,0.01089544,-0.046778921,0.193391047,-0.052071006
253,POM,0.013454668,0.00340177,0.012537386,-0.050275733,0.175685763,-0.055105002
254,POM,0.012071946,0.003396381,0.011127388,-0.048156506,0.189988239,-0.053412463
255,POM,0.012334538,0.003409052,0.011383751,-0.050926866,0.187682971,-0.056410256
256,POM,0.011764679,0.003389176,0.010822194,-0.045161927,0.193083913,-0.050318103
257,POM,0.012790953,0.003391014,0.011859855,-0.050693295,0.181547229,-0.056009335
258,POM,0.012006078,0.003420776,0.011054141,-0.047107258,0.191344399,-0.052378085
259,POM,0.012413578,0.00344578,0.011499725,-0.048765711,0.187077038,-0.05398773
260,POM,0.012388311,0.003404718,0.011438686,-0.050298935,0.187037815,-0.055733504
261,POM,0.012102827,0.003426296,0.011151804,-0.047553975,0.190656929,-0.05292172
262,POM,0.012546454,0.003558862,0.011560764,-0.049197441,0.18585904,-0.054341037
263,POM,0.011329402,0.003422674,0.01037661,-0.041442144,0.199795546,-0.046107332
264,POM,0.012182211,0.003397485,0.011237258,-0.047593005,0.188723738,-0.052951917
265,POM,0.012322388,0.003452661,0.011389855,-0.048348263,0.188387979,-0.053682896
266,POM,0.012933496,0.003541452,0.011957517,-0.052013242,0.181983903,-0.057441253
267,POM,0.01269586,0.003386051,0.011756089,-0.053266356,0.182874561,-0.058823529
268,POM,0.011566075,0.003457175,0.010614662,-0.039997595,0.197101219,-0.04445695
269,POM,0.012041577,0.003460826,0.011072453,-0.045643828,0.19100234,-0.050344379
270,POM,0.011745585,0.003427538,0.010791674,-0.045048841,0.194362,-0.050131926
271,POM,0.012119865,0.003477076,0.011170115,-0.043451765,0.190721623,-0.048184818
272,POM,0.012660956,0.005902716,0.010852713,-0.040878174,0.192140184,-0.043528073
273,POM,0.01176335,0.003434356,0.01081609,-0.042426457,0.194103016,-0.047272727
274,POM,0.012275084,0.003403273,0.011328816,-0.049434294,0.188130367,-0.055050519
275,POM,0.0129289,0.003419718,0.011988036,-0.050365036,0.181815726,-0.055819477
276,POM,0.011383903,0.003558209,0.010431545,-0.038530506,0.200298619,-0.043223443
277,POM,0.017300671,0.007829012,0.014936214,-0.069226708,0.159365422,-0.077777777
278,POM,0.01229558,0.003411211,0.011353232,-0.049258585,0.187638898,-0.054511186
279,POM,0.012843,0.003789394,0.011798816,-0.051614462,0.183192709,-0.057332528
280,POM,0.011964575,0.003420865,0.011023622,-0.045987091,0.192017957,-0.051000645
281,POM,0.01302281,0.003433074,0.012061283,-0.053709267,0.180217496,-0.059561128
282,POM,0.011276786,0.003416279,0.010327779,-0.043165103,0.200267211,-0.048166786
283,POM,0.012230797,0.00339501,0.011292193,-0.047503268,0.18819743,-0.052519894
284,POM,0.011457861,0.003430185,0.010504792,-0.043875147,0.198407062,-0.049006622
285,POM,0.011420688,0.003402448,0.010480376,-0.043243854,0.197618574,-0.048155097
286,POM,0.011406913,0.003405034,0.01045596,-0.043591802,0.198000792,-0.048625793
287,POM,0.013602056,0.004247203,0.012494659,-0.056262484,0.177635651,-0.062418158
288,POM,0.012680658,0.003521116,0.011707258,-0.049051783,0.184093405,-0.054734976
289,POM,0.011060877,0.003436011,0.010108039,-0.040492366,0.203681319,-0.045419553
290,POM,0.0109853,0.0034327,0.010034792,-0.032642605,0.204732691,-0.03652968
291,POM,0.012850725,0.003411062,0.011908686,-0.047970482,0.182483922,-0.053066038
292,POM,0.013202323,0.00436288,0.011811024,-0.051113042,0.184012869,-0.058470764
293,POM,0.012058544,0.003409017,0.011109076,-0.045868925,0.19126004,-0.051246851
294,POM,0.013072561,0.007840063,0.010999206,-0.046643903,0.191466984,-0.054642145
295,POM,0.011718625,0.003411795,0.010767259,-0.048024601,0.194687573,-0.053503185
296,POM,0.012369265,0.003391897,0.011426479,-0.050501491,0.186635212,-0.055911275
297,POM,0.012437125,0.003871652,0.011298297,-0.047713945,0.187784746,-0.052510098
298,POM,0.011674707,0.003416359,0.010718428,-0.045867197,0.195563856,-0.051223916
299,POM,0.012052262,0.00340775,0.011102973,-0.048814187,0.190718341,-0.054204012
300,PVC,0.050350248,0.003210547,0.049667338,-0.098431805,0.085670197,-0.103701856
301,PVC,0.042917697,0.00319154,0.042141244,-0.100261502,0.090836381,-0.105868475
302,PVC,0.054895252,0.003253356,0.054281878,-0.100780231,0.08328419,-0.105943152
303,PVC,0.050778927,0.003395223,0.050198376,-0.103682254,0.085842605,-0.109009279
304,PVC,0.051009164,0.003212795,0.05034487,-0.103530841,0.085522004,-0.109002433
305,PVC,0.055695831,0.003272956,0.055099799,-0.104022506,0.082811202,-0.109405857
306,PVC,0.059820765,0.00535971,0.05907343,-0.108425584,0.080713291,-0.11363176
307,PVC,0.048163525,0.003421461,0.047506562,-0.102714479,0.087572067,-0.108146068
308,PVC,0.054329727,0.003307803,0.053769151,-0.10346842,0.083689429,-0.108802098
309,PVC,0.046825388,0.003189563,0.046096564,-0.101065915,0.088091236,-0.106734892
310,PVC,0.057171505,0.003249576,0.056552524,-0.104147818,0.082252102,-0.109361424
311,PVC,0.046309779,0.003136608,0.045583837,-0.099974256,0.088904996,-0.10552567
312,PVC,0.059407156,0.003365795,0.058890313,-0.110534008,0.080856594,-0.115897548
313,PVC,0.048388252,0.003189578,0.04770799,-0.100518868,0.08754866,-0.105916155
314,PVC,0.054209547,0.003228648,0.053598242,-0.103560891,0.083392621,-0.108933407
315,PVC,0.042464504,0.003281445,0.041781115,-0.099030467,0.092267749,-0.104758888
316,PVC,0.053669385,0.003268248,0.053073308,-0.105223546,0.083535691,-0.110715133
317,PVC,0.056894406,0.00322937,0.056277849,-0.108733913,0.082297607,-0.114160451
318,PVC,0.061170492,0.003208759,0.060556675,-0.106720712,0.080281638,-0.111909456
319,PVC,0.055729666,0.003293758,0.055160837,-0.104679946,0.082994577,-0.109936575
320,PVC,0.062580489,0.00341249,0.062149789,-0.111976931,0.079750221,-0.117203755
321,PVC,0.054910788,0.003194118,0.054263566,-0.104034024,0.083614333,-0.109343012
322,PVC,0.05323184,0.003112159,0.052499542,-0.103755022,0.084170289,-0.109244571
323,PVC,0.040090804,0.003212888,0.039339559,-0.098015287,0.094486605,-0.103818336
324,PVC,0.05624766,0.003292168,0.055655252,-0.105310675,0.082612486,-0.11061381
325,PVC,0.039348752,0.003205204,0.038588781,-0.098705241,0.095029715,-0.10464563
326,PVC,0.043659287,0.003303649,0.042898126,-0.097917715,0.09112286,-0.103597693
327,PVC,0.063157516,0.003288694,0.062589269,-0.112800044,0.079629689,-0.118026267
328,PVC,0.058638966,0.003290783,0.058029665,-0.108961886,0.081690602,-0.11420785
329,PVC,0.039055582,0.003303953,0.038399561,-0.098509306,0.095252056,-0.104426434
330,PVC,0.038552081,0.003280865,0.037813587,-0.093661478,0.095507216,-0.099282296
331,PVC,0.046313818,0.003195641,0.045663187,-0.097885132,0.088220516,-0.103225806
332,PVC,0.041579544,0.00326683,0.040914362,-0.096718079,0.092673298,-0.102201874
333,PVC,0.051238773,0.00323162,0.050570714,-0.102522056,0.085745775,-0.10788918
334,PVC,0.051484892,0.003308703,0.050912531,-0.104071624,0.085486633,-0.109408408
335,PVC,0.040830723,0.003193219,0.04004761,-0.09984865,0.093829243,-0.105607742
336,PVC,0.055170377,0.003201222,0.054483306,-0.107137729,0.083553698,-0.112454111
337,PVC,0.047985467,0.003256541,0.047360068,-0.100840223,0.088015589,-0.106222915
338,PVC,0.034559651,0.003230071,0.033760606,-0.097743098,0.100780974,-0.103739965
339,PVC,0.046080532,0.003271862,0.045443447,-0.098237231,0.089565782,-0.103702709
340,PVC,0.045731332,0.003202166,0.045046695,-0.100573057,0.089505177,-0.106058466
341,PVC,0.050327024,0.032773715,0.040755661,-0.089537573,0.093974254,-0.093649115
342,PVC,0.056088347,0.003386651,0.055563694,-0.108660107,0.083103614,-0.113963571
343,PVC,0.047951854,0.003259128,0.047335653,-0.105308558,0.088108205,-0.110933546
344,PVC,0.051500872,0.00331727,0.050943051,-0.106011992,0.085772879,-0.111540648
345,PVC,0.044851847,0.003305655,0.044137215,-0.104028891,0.090155883,-0.109694209
346,PVC,0.051661355,0.00318058,0.050967466,-0.106181321,0.085717918,-0.111628435
347,PVC,0.054671689,0.003180507,0.054001099,-0.108327474,0.084117301,-0.113716428
348,PVC,0.048290789,0.003205051,0.047610328,-0.105217569,0.087862435,-0.110936167
349,PVC,0.047525513,0.003203054,0.046865653,-0.105350459,0.088365376,-0.110992028
350,PET,0.063356816,0.004278547,0.062660227,-0.073302815,0.093764224,-0.077884815
351,PET,0.090092794,0.005218181,0.090041888,-0.080949653,0.084210168,-0.085131382
352,PET,0.08538743,0.004825813,0.085082479,-0.078989436,0.085578477,-0.083404987
353,PET,0.061268495,0.004213601,0.060533404,-0.072600719,0.094699326,-0.077305931
354,PET,0.088101064,0.004185809,0.087438198,-0.076612322,0.085093576,-0.080936455
355,PET,0.107381786,0.007787189,0.108191418,-0.085768143,0.080299797,-0.089999098
356,PET,0.064835993,0.004911334,0.064634453,-0.071296853,0.09333279,-0.07571399
357,PET,0.090107853,0.013158076,0.093914042,-0.078722706,0.084387177,-0.082747633
358,PET,0.072750126,0.006050862,0.073094061,-0.073315034,0.090064464,-0.077725682
