,polymer,mean(nid),Median(nid),IQR(nid),Range(nid)
158,PE,-0.170069463,-0.197050663,0.342599937,1.756987777
159,PE,-0.176809543,-0.204084996,0.336497423,1.738188411
160,PE,-0.19879344,-0.227492739,0.310684739,1.708535818
161,PE,-0.172698725,-0.200587803,0.349258152,1.759079318
162,PE,-0.162331607,-0.188372092,0.35342209,1.759212542
163,PE,-0.177422597,-0.206521738,0.346668156,1.754494035
164,PE,-0.166821473,-0.195541177,0.357453368,1.775576549
165,PE,-0.177683173,-0.205529131,0.336848234,1.744932328
166,PE,-0.167096953,-0.193825658,0.350915983,1.758242902
167,PE,-0.15976523,-0.185729869,0.359219797,1.769100456
168,PE,-0.201873139,-0.231677323,0.320442232,1.720016901
169,PE,-0.165845477,-0.192407568,0.351266546,1.758219905
170,PE,-0.169134272,-0.195986412,0.351183932,1.760997233
171,PE,-0.179819663,-0.207598371,0.336032082,1.741725798
172,PE,-0.163465416,-0.189885057,0.355420419,1.767869211
173,PE,-0.195999128,-0.225835188,0.336069322,1.744299384
174,PE,-0.149386924,-0.174203113,0.367417193,1.78133
175,PE,-0.162497353,-0.188729399,0.357084697,1.765455003
176,PE,-0.19089551,-0.220205834,0.337766462,1.741281597
177,PE,-0.213642208,-0.24426505,0.311570575,1.706146936
178,PE,-0.178981244,-0.207338666,0.340787799,1.752171008
179,PE,-0.186532207,-0.215339232,0.335706828,1.743236485
180,PE,-0.163970996,-0.190585798,0.356933986,1.762155525
181,PE,-0.177307699,-0.205043859,0.341330301,1.754175979
182,PE,-0.168357146,-0.195195194,0.35085864,1.758743365
183,PE,-0.191232614,-0.220447284,0.330513407,1.734102398
184,PE,-0.228214018,-0.260115606,0.307814326,1.696392109
185,PE,-0.177499425,-0.205291005,0.341264715,1.7441031
186,PE,-0.152382627,-0.177191906,0.360277711,1.763672835
187,PE,-0.166247123,-0.192796609,0.349519615,1.753124854
188,PE,-0.18237771,-0.211491139,0.337458736,1.749409098
189,PE,-0.163160914,-0.189376443,0.35183781,1.761261683
190,PE,-0.160829342,-0.187189004,0.357252321,1.765495151
191,PE,-0.159699023,-0.185714285,0.361146013,1.76866221
192,PE,-0.193611903,-0.225074626,0.32331969,1.741389841
193,PE,-0.192560386,-0.224212775,0.325185948,1.738585304
194,PE,-0.167525587,-0.194161229,0.348807615,1.758782382
195,PE,-0.159147086,-0.185060368,0.357699019,1.763955208
196,PE,-0.168559422,-0.195370207,0.348047829,1.757312901
197,PE,-0.182129824,-0.210891124,0.342617362,1.748433612
198,PE,-0.172809098,-0.200177148,0.346131634,1.755622834
199,PE,-0.18067916,-0.209334972,0.335919087,1.747131809
200,PE-LD,-0.148864347,-0.174089068,0.382964398,1.796435104
201,PE-LD,-0.162193782,-0.189220183,0.359810349,1.7652545
202,PE-LD,-0.155799273,-0.182089552,0.366252223,1.773435074
203,PE-LD,-0.192543462,-0.222185287,0.335851301,1.738071686
204,PE-LD,-0.17212841,-0.199599297,0.352954303,1.759804103
205,PE-LD,-0.174828137,-0.203703703,0.333574402,1.756718304
206,PE-LD,-0.145804422,-0.170240851,0.370184184,1.781558935
207,PE-LD,-0.18132064,-0.21011874,0.348535558,1.762901296
208,PE-LD,-0.162297645,-0.188579017,0.35685216,1.767894046
209,PE-LD,-0.160280169,-0.186440677,0.359277556,1.765703201
210,PE-LD,-0.176808563,-0.206572305,0.333622721,1.750782608
211,PE-LD,-0.176129042,-0.203972083,0.348087517,1.745410156
212,PE-LD,-0.150769698,-0.175774293,0.367748375,1.778210911
213,PE-LD,-0.165348476,-0.192071086,0.355687243,1.764069995
214,PE-LD,-0.160918947,-0.186874527,0.356442687,1.767897267
215,PE-LD,-0.178796246,-0.206764027,0.340532742,1.750957238
216,PE-LD,-0.160984999,-0.187150837,0.355354475,1.767904408
217,PE-LD,-0.164781887,-0.191267283,0.35547329,1.769019994
218,PE-LD,-0.176272726,-0.20483749,0.325205975,1.749646593
219,PE-LD,-0.148022161,-0.172697744,0.371655701,1.780742583
220,PE-LD,-0.175685778,-0.202977667,0.336877928,1.74215525
221,PE-LD,-0.15197477,-0.177111716,0.366312108,1.77909706
