,polymer,mean(ni),median(ni),standard_deviation(ni),variance(ni),iqr(ni),range(ni),mean(nid),median(nid),standard_deviation(nid),variance(nid),iqr(nid),range(nid)
216,PS,0.003924004,0.00347006,0.00164139,2.69E-06,0.00153055,0.02903467,-0.203304956,-0.234382573,0.264639005,0.070033803,0.339475953,1.73568437
217,PS,0.004083922,0.003636391,0.001618743,2.62E-06,0.001487823,0.029173534,-0.225013051,-0.257570429,0.254619269,0.064830972,0.321968687,1.710360375
218,PS,0.004566618,0.00412165,0.001620797,2.63E-06,0.001486297,0.029352072,-0.268038986,-0.302752292,0.236355992,0.055864155,0.292431311,1.677898375
219,PS,0.004330554,0.003885125,0.001631856,2.66E-06,0.001501556,0.02948941,-0.248560907,-0.282787621,0.246412508,0.060719124,0.308828423,1.698340881
220,PS,0.003816864,0.00336019,0.001653709,2.73E-06,0.00152292,0.041881829,-0.193377026,-0.223575255,0.27269178,0.074360807,0.35341868,1.759695679
221,PS,0.003959142,0.003509736,0.001625628,2.64E-06,0.001492401,0.041433193,-0.215630273,-0.247744293,0.261783575,0.06853064,0.333951342,1.737080615
222,PS,0.003731971,0.00328084,0.001639044,2.69E-06,0.001510712,0.029442105,-0.18753327,-0.217230483,0.275063325,0.075659833,0.357548088,1.758214017
223,PS,0.003963284,0.003511262,0.001635146,2.67E-06,0.001504608,0.029413111,-0.213088269,-0.245083167,0.262949887,0.069142643,0.336388693,1.74193571
224,PS,0.003831126,0.003381554,0.001642072,2.70E-06,0.001521394,0.029443631,-0.197251545,-0.22778473,0.269491134,0.072625471,0.347519298,1.75485303
225,PS,0.003960437,0.003517366,0.00161489,2.61E-06,0.001486297,0.029135384,-0.218209551,-0.250537633,0.259875041,0.067535037,0.330609777,1.732928345
226,PS,0.004061129,0.00361045,0.001637017,2.68E-06,0.001513764,0.029396325,-0.223163416,-0.255759918,0.257683311,0.066400689,0.32699932,1.726228384
227,PS,0.003866401,0.003415125,0.001632829,2.67E-06,0.001503082,0.029394799,-0.202404819,-0.233473805,0.266917041,0.071244707,0.343184821,1.753954919
228,PS,0.00375834,0.003306781,0.001636417,2.68E-06,0.001506134,0.02945889,-0.188841757,-0.218549843,0.273097902,0.074582464,0.35419792,1.752337879
229,PS,0.003767741,0.003315937,0.001644566,2.70E-06,0.001536654,0.029419215,-0.191299998,-0.221436765,0.272775189,0.074406304,0.353368811,1.759970642
230,PS,0.0041668,0.003717268,0.001628013,2.65E-06,0.001493927,0.029338339,-0.232036646,-0.265021458,0.252484163,0.063748253,0.318764994,1.709510389
231,PS,0.003847521,0.003396814,0.001635115,2.67E-06,0.001501556,0.029500092,-0.200769875,-0.231660231,0.268523578,0.072104912,0.346009425,1.751514724
232,PS,0.003848311,0.003396814,0.001633887,2.67E-06,0.001503082,0.02934139,-0.200919218,-0.231726282,0.267977416,0.071811896,0.344750926,1.749762574
233,PS,0.003811575,0.003358664,0.001636095,2.68E-06,0.001503082,0.029457364,-0.195574078,-0.225922056,0.270291883,0.073057702,0.349273874,1.74723554
234,PS,0.004199091,0.003729476,0.001683575,2.83E-06,0.001518342,0.035178234,-0.232961845,-0.26631906,0.252010632,0.063509359,0.318232208,1.718318316
235,PS,0.003903357,0.003448697,0.001648189,2.72E-06,0.001539706,0.029469572,-0.205493664,-0.236783895,0.265964824,0.070737287,0.341508429,1.739508785
236,PS,0.003982048,0.003531099,0.001634442,2.67E-06,0.001506134,0.029173534,-0.213218081,-0.24510329,0.261405696,0.068332938,0.333735832,1.737462268
237,PS,0.004037914,0.003589086,0.001628203,2.65E-06,0.001503082,0.029353598,-0.220715323,-0.253092292,0.257809986,0.066465989,0.327416739,1.725509571
238,PS,0.003895231,0.003439541,0.001639648,2.69E-06,0.001510712,0.029393274,-0.204375931,-0.235752849,0.265970307,0.070740204,0.341706482,1.749580463
239,PS,0.003912969,0.003454801,0.001650414,2.72E-06,0.001529024,0.029358176,-0.206528126,-0.238007371,0.265135242,0.070296697,0.339943831,1.746083137
240,PS,0.003803687,0.003352561,0.001631615,2.66E-06,0.001500031,0.029512299,-0.195334691,-0.225659169,0.270026543,0.072914334,0.348446912,1.756112392
241,PS,0.00382035,0.003369346,0.001634662,2.67E-06,0.001504608,0.029526033,-0.196678739,-0.227053139,0.269475071,0.072616814,0.347537359,1.755225004
242,PS,0.003894066,0.003442593,0.001633134,2.67E-06,0.001501556,0.029388696,-0.206671814,-0.238051043,0.265717175,0.070605617,0.341029867,1.735283435
