,polymer,mean(ni),Median(ni),mean(nid),Median(nid)
490,ABS,0.186419507,0.185758484,-0.063485167,-0.063917635
491,ABS,0.197142887,0.196583349,-0.050093166,-0.049488302
492,ABS,0.259741363,0.259482009,-0.006909754,-0.006766409
493,ABS,0.192060786,0.191499954,-0.056231909,-0.056119272
494,ABS,0.227041847,0.226540087,-0.021345115,-0.020363096
495,ABS,0.218173897,0.2176513,-0.027971174,-0.02681381
496,ABS,0.16502189,0.164385338,-0.089810501,-0.092261993
497,ABS,0.209902111,0.20934429,-0.035675364,-0.034568355
498,ABS,0.222392939,0.222801456,-0.025074116,-0.023895351
499,ABS,0.209652605,0.209010483,-0.035943126,-0.034863572
500,PE-LD,0.003541883,0.00307636,0.000317404,0.000995026
501,PE-LD,0.003600991,0.003126717,-0.005696044,-0.007247759
502,PE-LD,0.003552375,0.003087041,-0.004328645,-0.005556743
503,PE-LD,0.003779016,0.003326619,-0.008941409,-0.010106204
504,PE-LD,0.00363,0.0031786,-0.005704104,-0.00633045
505,PE-LD,0.004096716,0.003312885,-0.0128776,-0.018726592
506,PE-LD,0.00349634,0.003042788,-0.004944741,-0.005607477
507,PE-LD,0.003676371,0.003221327,-0.006728399,-0.007883566
508,PE-LD,0.003585965,0.003132821,-0.007104058,-0.00795756
509,PE-LD,0.003575314,0.003122139,-0.005442816,-0.006076975
510,PE-LD,0.004149952,0.003335775,-0.011996041,-0.016806723
511,PE-LD,0.003668771,0.003216749,-0.006594904,-0.007661007
512,PE-LD,0.003519274,0.003064152,-0.002261852,-0.002409639
513,PE-LD,0.003612837,0.003160288,-0.005401608,-0.006088501
514,PE-LD,0.003577159,0.003128243,-0.008159712,-0.009311303
515,PE-LD,0.003726706,0.003274736,-0.011398483,-0.01293723
516,PE-LD,0.00361404,0.003161814,-0.008565252,-0.009836066
517,PE-LD,0.003601773,0.003149606,-0.006814124,-0.007824726
518,PE-LD,0.003911967,0.003499054,-0.018366128,-0.022251526
519,PE-LD,0.003484855,0.003032106,-0.003355627,-0.003756221
520,PE-LD,0.00374832,0.003297626,-0.01426721,-0.016387848
521,PE-LD,0.003517833,0.003064152,-0.004047619,-0.004366812
522,PE-LD,0.003578622,0.003125191,-0.005246096,-0.005907505
523,PE-LD,0.003521556,0.003067204,-0.001714984,-0.00170697
524,PE-LD,0.003634076,0.003183178,-0.007090732,-0.007989757
525,PE-LD,0.003689364,0.003236587,-0.009605833,-0.010989011
526,PE-LD,0.004190184,0.003465483,-0.015553669,-0.02355219
527,PE-LD,0.005502386,0.003778307,-0.026142501,-0.039229426
528,PE-LD,0.003729191,0.003174022,-0.007857481,-0.009678865
529,PE-LD,0.003608243,0.003158762,-0.00828057,-0.00990099
530,PE-LD,0.003658467,0.003203015,-0.00477841,-0.005345552
531,PE-LD,0.003634009,0.003172496,-0.006343009,-0.007486631
532,PE-LD,0.004306917,0.003419703,-0.015724174,-0.020754717
533,PE-LD,0.00450181,0.003590612,-0.020063443,-0.02683062
534,PE-LD,0.003757358,0.003303729,-0.008024079,-0.009035428
535,PE-LD,0.00363232,0.003180126,-0.008418924,-0.009623149
536,PE-LD,0.0035617,0.003109931,-0.004838113,-0.005655818
537,PE-LD,0.003648072,0.003198437,-0.008300224,-0.009463722
538,PE-LD,0.00365869,0.003206067,-0.008091102,-0.009198423
539,PE-LD,0.003793,0.003344931,-0.011011003,-0.012345679
540,PE-LD,0.003623862,0.003172496,-0.006858978,-0.007800312
541,PE-LD,0.003656258,0.003203015,-0.009914158,-0.011261261
542,PE-LD,0.003664635,0.003196911,-0.008372602,-0.010942059
543,PE-LD,0.003591838,0.003141976,-0.007370844,-0.00836728
544,PE-LD,0.003706054,0.003254898,-0.011148118,-0.012765957
545,PE-LD,0.003761886,0.003309833,-0.014294639,-0.016514519
546,PE-LD,0.003643883,0.003190808,-0.009699732,-0.011071682
547,PE-LD,0.003613136,0.003160288,-0.008079767,-0.009161381
548,PE-LD,0.003552855,0.003099249,-0.005543295,-0.006163693
549,PE-LD,0.003548878,0.003096197,-0.006683007,-0.007674036
550,SAN,0.019985206,0.019074651,-0.055636362,-0.060218978
551,SAN,0.020269871,0.019404261,-0.055483894,-0.060207612
552,SAN,0.022213156,0.021345297,-0.059412999,-0.063943778
553,SAN,0.02042734,0.019538546,-0.058093476,-0.062783326
554,SAN,0.021393428,0.020539584,-0.058961841,-0.063543004
555,SAN,0.020414044,0.019538546,-0.058493768,-0.063088689
556,SAN,0.019713372,0.018842703,-0.058835113,-0.063372985
557,SAN,0.019431287,0.018568028,-0.058189223,-0.062725306
558,SAN,0.021562226,0.020673869,-0.059578322,-0.064267352
559,SAN,0.020308177,0.019440884,-0.058976046,-0.063591433
560,SAN,0.01932344,0.018458158,-0.058038524,-0.062812277
561,SAN,0.02051658,0.019624,-0.058837245,-0.063467962
562,SAN,0.020878115,0.01998413,-0.059504265,-0.064194988
563,SAN,0.018873068,0.017957639,-0.056602872,-0.061296596
564,SAN,0.019675974,0.018818287,-0.057785188,-0.062278839
565,SAN,0.020865149,0.020039065,-0.056426668,-0.061038764
566,SAN,0.020400537,0.019501923,-0.059824914,-0.064613324
567,SAN,0.018617969,0.017701276,-0.054902332,-0.059486317
568,SAN,0.018840517,0.017939327,-0.056021084,-0.060734463
569,SAN,0.02006651,0.019196728,-0.057684964,-0.062297326
570,SAN,0.01996814,0.019074651,-0.057832969,-0.0624346
571,SAN,0.019708795,0.018824391,-0.056899646,-0.061381426
572,SAN,0.019728105,0.018861014,-0.057683366,-0.062355658
573,SAN,0.019256207,0.018354392,-0.056208849,-0.060725835
574,SAN,0.019628776,0.018726729,-0.058289969,-0.062972292
575,SAN,0.022131076,0.021259843,-0.060124112,-0.064770932
576,SAN,0.021536179,0.020710493,-0.061948353,-0.066708036
577,SAN,0.018335983,0.017414393,-0.055136675,-0.05973025
578,SAN,0.019781279,0.018879326,-0.057430358,-0.062258178
579,SAN,0.02036804,0.019489715,-0.058429842,-0.063137105
580,SAN,0.017221143,0.016297381,-0.056224623,-0.061158363
581,SAN,0.018959414,0.018049197,-0.057368487,-0.06208469
582,SAN,0.020137042,0.019239456,-0.058546747,-0.063257948
583,SAN,0.018421029,0.017512055,-0.053970207,-0.058426966
584,SAN,0.021265264,0.020386987,-0.060071881,-0.064776023
585,SAN,0.023392737,0.022535555,-0.060864295,-0.065508706
586,SAN,0.01946453,0.018568028,-0.059182155,-0.063887021
587,SAN,0.021221712,0.020209974,-0.059406635,-0.064249034
588,SAN,0.020501744,0.019599585,-0.058402863,-0.063026626
589,SAN,0.02334327,0.022474516,-0.061204079,-0.065975359
590,SAN,0.021014693,0.020179454,-0.060725094,-0.065357367
591,SAN,0.018980336,0.018091925,-0.05749785,-0.06214331
592,SAN,0.01731085,0.016401148,-0.056436515,-0.061208267
593,SAN,0.020534357,0.019660624,-0.065883159,-0.070983441
594,SAN,0.020712407,0.019801013,-0.058386507,-0.06306803
595,SAN,0.019892999,0.018824391,-0.058466635,-0.063076355
596,SAN,0.018688346,0.017805042,-0.058603949,-0.063407722
597,SAN,0.020415532,0.019514131,-0.058078442,-0.062782315
598,SAN,0.020879253,0.020026857,-0.060648933,-0.065503411
599,SAN,0.020631937,0.019770494,-0.057627167,-0.062275449
