,Name,intensity_std,intensity_mean,phase_std,phase_mean,mod_std,mod_mean,phaselifetime_std,phaselifetime_mean,modulationlifetime_std,modulationlifetime_mean
218,PC,0.00388644,0.015497637,15.862978,4.184437,0.25391886,0.78130466,0.7226496,0.5662637,2.092148,4.548923
219,PC,0.004163716,0.019676495,13.983291,7.4875436,0.21731932,0.7691232,0.68770355,0.82401645,1.7853127,4.630277
220,PC,0.004121728,0.019793628,13.986834,7.5806236,0.21139565,0.7630556,0.5344912,0.8323462,1.7964224,4.7002316
221,PE,0.003419759,0.009144885,12.625784,3.9455683,0.21549185,0.82535875,0.7358108,0.5094728,2.788533,3.8994853
222,PE,0.003433833,0.009159765,12.576965,3.765741,0.21557318,0.83470666,0.76235414,0.493542,2.742689,3.7621741
223,PE,0.003415747,0.009451697,12.337335,4.239812,0.21210825,0.8340665,0.7028434,0.5235,2.662547,3.759816
224,PE,0.003408035,0.009654491,12.142779,3.8962216,0.20862396,0.83742326,0.6215385,0.490895,2.626035,3.702168
225,PE,0.003390935,0.009169735,12.46943,3.4040914,0.2155062,0.8527114,0.95164454,0.46312016,2.7184238,3.4996486
226,PE,0.00973709,0.011517933,12.791269,5.4811406,0.20829032,0.81777614,0.9610998,0.63917464,2.6844306,3.9799814
227,PE,0.003988204,0.010654051,12.1458845,6.5946426,0.2067663,0.81126934,0.7314963,0.7217203,2.6292326,4.0659757
228,PE,0.003381372,0.0088764,12.863981,3.4710026,0.2215269,0.84282666,0.9388501,0.47822717,2.8039975,3.6614394
229,PE,0.003369903,0.008577054,13.086333,3.3088212,0.22674713,0.8576379,0.6563717,0.46900722,2.8591406,3.4654617
230,PE,0.003368653,0.008949957,12.75727,3.541917,0.21968167,0.8579809,0.53820616,0.47685158,2.7595346,3.4369702
231,PE,0.003379548,0.009081015,12.683662,3.1142483,0.21745455,0.84327656,0.71299195,0.44586697,2.738591,3.6395378
232,PE,0.003418421,0.009129792,12.550968,3.548025,0.21547449,0.83404964,0.7331169,0.47608954,2.751459,3.771704
233,PE,0.003383196,0.008716997,12.971627,2.8900368,0.22391585,0.8455605,0.6559436,0.43808028,2.8424277,3.6280668
234,PE,0.003358235,0.008981098,12.766562,3.7729797,0.22421734,0.8520517,0.91699594,0.49733013,2.7581792,3.5378904
235,PE,0.003342214,0.008809018,12.947922,3.044931,0.22168513,0.8486291,0.82022494,0.4471594,2.821396,3.5766184
236,PE,0.003350914,0.00893868,12.919188,4.000382,0.21868035,0.833279,0.69745207,0.5188833,2.7813427,3.7881062
237,PE,0.003361502,0.00866467,13.149148,3.5882967,0.22693618,0.8495684,0.8411713,0.4935646,2.8394396,3.5815945
238,PE,0.003348616,0.0085402,13.230542,3.605077,0.22935407,0.8587991,0.7331029,0.4947977,2.868506,3.4576633
239,PE,0.003422168,0.00972475,12.464749,5.024494,0.2102384,0.8139525,0.8128255,0.590752,2.66156,4.0437684
240,PE,0.003368915,0.008978773,12.747696,4.218644,0.2268485,0.86014247,0.56804454,0.5290158,2.769529,3.4347823
241,PE,0.003369744,0.009055377,12.821098,3.852396,0.2204503,0.84539545,0.70757246,0.50362355,2.7638483,3.6217537
242,PE,0.003348341,0.008884195,12.8304,3.3470685,0.22682601,0.8538914,0.58445394,0.46600768,2.75317,3.5197983
243,PE,0.003408813,0.008973131,12.814711,3.5551724,0.21809386,0.83659095,0.7900462,0.4844799,2.8125443,3.7435145
244,PE,0.003376931,0.008872183,12.843619,3.0610218,0.2261368,0.84516245,0.60763097,0.44638714,2.8020852,3.6437562
245,PE,0.003349301,0.008705165,13.000472,3.1342301,0.22661698,0.8558683,0.9016995,0.4561364,2.8073819,3.4897716
246,PE,0.003343109,0.008839875,13.026678,3.540401,0.21932149,0.83317107,0.689522,0.48567972,2.853043,3.7885253
247,PE,0.003353675,0.009151537,12.758222,3.957955,0.21754363,0.8464248,0.6595707,0.5107431,2.7005107,3.594197
248,PE,0.003356167,0.008964463,12.928503,3.5815165,0.21790244,0.82991976,0.825132,0.48744062,2.7771168,3.8318367
249,PE,0.003355247,0.009063515,12.876008,4.437831,0.21712881,0.8311082,0.7213471,0.5509916,2.764784,3.812893
250,PE,0.003347364,0.008848149,13.089715,3.9279904,0.22229443,0.8480024,0.8335339,0.5157986,2.809031,3.5862796
251,PE,0.003353309,0.009106269,12.884082,4.432135,0.22037627,0.82878745,0.7808175,0.55184114,2.7655592,3.858718
252,PE,0.003346895,0.008910365,13.0382185,3.5223856,0.21910925,0.83241314,0.8308376,0.48461708,2.8044608,3.7993953
253,PE,0.003341832,0.008895301,13.005313,3.790576,0.21882415,0.8341674,0.9286495,0.50549483,2.8191748,3.774534
254,PE,0.003409738,0.008924486,12.7799425,4.033529,0.22076365,0.8549795,0.6536483,0.5170049,2.78482,3.4868593
