,polymer,x_bar(ni),M(ni),std(ni),variance(ni),iqr(ni),R(ni),x_bar(nid),M(nid),std(nid),variance(nid),iqr(nid),R(nid)
2101,PE-LD,0.003981982,0.003528047,0.001652225,2.73E-06,0.00153055,0.027690289,-0.177440523,-0.204340816,0.262336312,0.068820341,0.336456556,1.740777085
2102,PE-LD,0.003914395,0.003462431,0.001643881,2.70E-06,0.00152292,0.02761399,-0.175162962,-0.202029382,0.26465078,0.070040036,0.340132965,1.740737886
2103,PE-LD,0.003836139,0.00338308,0.001644719,2.71E-06,0.001524446,0.027757431,-0.166809266,-0.192864568,0.268768304,0.072236401,0.347446811,1.750389066
2104,PE-LD,0.003833807,0.003381554,0.001644889,2.71E-06,0.00152292,0.027603308,-0.167318884,-0.193439186,0.268902854,0.072308745,0.347480175,1.750555765
2105,PE-LD,0.003828486,0.00337545,0.001645369,2.71E-06,0.00152292,0.027859672,-0.166864762,-0.192957746,0.26931009,0.072527925,0.348247852,1.753010695
2106,PE-LD,0.003825946,0.003372398,0.001645972,2.71E-06,0.001524446,0.027745224,-0.166352686,-0.192356687,0.269487847,0.0726237,0.348568752,1.753684065
2107,PE-LD,0.003825289,0.003372398,0.0016471,2.71E-06,0.001525972,0.027687237,-0.165265284,-0.191142717,0.269635395,0.072703246,0.348878965,1.751126477
2108,PE-LD,0.0038111,0.00336019,0.00164019,2.69E-06,0.001518342,0.027670451,-0.165027163,-0.190811064,0.269385198,0.072568385,0.348153641,1.752499731
2109,PE-LD,0.003800174,0.003349509,0.001637239,2.68E-06,0.00151529,0.027595678,-0.165348969,-0.191294386,0.269610359,0.072689745,0.348573544,1.753738388
2110,PE-LD,0.003804357,0.003352561,0.00164149,2.69E-06,0.001519868,0.027588049,-0.165665538,-0.191642651,0.270059023,0.072931876,0.349488646,1.75523527
2111,PE-LD,0.004259823,0.003810352,0.001635691,2.68E-06,0.001512238,0.027704022,-0.208135407,-0.237801428,0.247578865,0.061295294,0.311018996,1.7014402
2112,PE-LD,0.004242702,0.003792041,0.001636596,2.68E-06,0.001513764,0.027639932,-0.20567251,-0.234989853,0.248353829,0.061679624,0.312308742,1.706082345
2113,PE-LD,0.0042302,0.003779833,0.001637273,2.68E-06,0.001513764,0.027514802,-0.204613888,-0.233957864,0.24902225,0.062012081,0.313485338,1.711104164
