,polymer,x_bar(ni),M(ni),std(ni),variance(ni),iqr(ni),R(ni),x_bar(nid),M(nid),std(nid),variance(nid),iqr(nid),R(nid)
209,SAN,0.025577725,0.024714643,0.003302634,1.09E-05,0.00293597,0.064273943,-0.45185925,-0.47296971,0.12487343,0.015593374,0.143134146,1.362445616
210,SAN,0.025322006,0.02445828,0.003299354,1.09E-05,0.00293597,0.063749008,-0.451379036,-0.472658234,0.12546009,0.015740234,0.143483195,1.364963595
211,SAN,0.0339969,0.033138009,0.003555241,1.26E-05,0.002954282,0.084703656,-0.461138966,-0.478031313,0.109213546,0.011927599,0.130781113,1.223628513
212,SAN,0.03209585,0.0312397,0.003451794,1.19E-05,0.002917659,0.078886651,-0.462045253,-0.479622478,0.111305086,0.012388822,0.131941449,1.245910453
213,SAN,0.031235924,0.030372948,0.003429387,1.18E-05,0.002923762,0.078654703,-0.461790043,-0.479749257,0.112761845,0.012715234,0.133060616,1.262523663
214,SAN,0.030109031,0.029237624,0.003414321,1.17E-05,0.002954282,0.077617042,-0.459958059,-0.478523751,0.115059644,0.013238722,0.134927753,1.287151017
215,SAN,0.029668702,0.028792041,0.003409414,1.16E-05,0.002948178,0.077946652,-0.459399102,-0.478146851,0.115878047,0.013427722,0.13562425,1.286873997
216,SAN,0.029076186,0.028199963,0.003398215,1.15E-05,0.002954282,0.078026003,-0.458968197,-0.478017266,0.117021123,0.013693943,0.136516664,1.300757764
217,SAN,0.028300093,0.027430873,0.003365907,1.13E-05,0.00293597,0.076756394,-0.458793375,-0.478221026,0.118255669,0.013984403,0.137371414,1.308288214
218,SAN,0.027863282,0.02698529,0.003371777,1.14E-05,0.002948178,0.075914057,-0.457670795,-0.477344099,0.119411067,0.014259003,0.138352741,1.304101079
219,SAN,0.027497438,0.026612952,0.003371395,1.14E-05,0.002960386,0.076738082,-0.456925766,-0.476865162,0.120383371,0.014492156,0.139230959,1.322249558
220,PE-LD,0.003855404,0.003386132,0.001705711,2.91E-06,0.001583959,0.030374474,-0.162953686,-0.189096115,0.2755542,0.075930117,0.359067003,1.761543097
221,PE-LD,0.003728442,0.003264054,0.001665391,2.77E-06,0.001541232,0.029391748,-0.162468136,-0.188937909,0.274490221,0.075344882,0.356491722,1.76506602
222,PE-LD,0.004485525,0.003523469,0.003621464,1.31E-05,0.001698407,0.045716596,-0.179597312,-0.207868852,0.258927751,0.06704358,0.326230957,1.731964097
223,PE-LD,0.004701388,0.003715742,0.003189943,1.02E-05,0.00194714,0.035817616,-0.187826877,-0.219144489,0.252321058,0.063665916,0.311293905,1.721797035
224,PE-LD,0.003863876,0.003409022,0.001637505,2.68E-06,0.001512238,0.029326131,-0.18531926,-0.214321232,0.265750512,0.070623335,0.340926158,1.74855393
225,PE-LD,0.003739844,0.003286944,0.00163865,2.69E-06,0.001510712,0.029310871,-0.166104084,-0.192728809,0.272506494,0.074259789,0.352638098,1.757436357
226,PE-LD,0.003642239,0.003193859,0.001628761,2.65E-06,0.001501556,0.029213209,-0.160347548,-0.186560565,0.276728741,0.076578796,0.360157362,1.769255777
227,PE-LD,0.003782494,0.003331197,0.001634905,2.67E-06,0.001503082,0.029400903,-0.172724566,-0.20008874,0.269916166,0.072854737,0.348131843,1.745913659
228,PE-LD,0.003774721,0.003322041,0.001637525,2.68E-06,0.00150766,0.029503144,-0.170408675,-0.197621545,0.270537124,0.073190336,0.349106245,1.750746887
229,PE-LD,0.003910384,0.003465483,0.001642346,2.70E-06,0.001521394,0.029771715,-0.182782966,-0.210895583,0.263006398,0.069172365,0.335751245,1.738119144
230,PE-LD,0.003702511,0.00325032,0.001635291,2.67E-06,0.001503082,0.029529085,-0.162807375,-0.189030981,0.274253619,0.075215047,0.35577271,1.76516029
231,PE-LD,0.003763089,0.003306781,0.001642739,2.70E-06,0.001519868,0.029303241,-0.16445919,-0.190819671,0.271121691,0.073506971,0.35025497,1.753308991
232,PE-LD,0.00378553,0.003302204,0.001722578,2.97E-06,0.001585485,0.03023561,-0.169686864,-0.197444831,0.274015841,0.075084681,0.35739766,1.761920623
233,PE-LD,0.003706372,0.003254898,0.001635563,2.68E-06,0.001503082,0.029501618,-0.161654394,-0.187806396,0.2738211,0.074977995,0.355003577,1.761722768
234,PE-LD,0.003806975,0.003357138,0.001628625,2.65E-06,0.001496979,0.029335287,-0.173277172,-0.20046216,0.267163695,0.07137644,0.343011499,1.749552306
235,PE-LD,0.003864274,0.003410548,0.001642726,2.70E-06,0.001524446,0.029492462,-0.175174674,-0.202823354,0.265408226,0.070441526,0.340248826,1.74891228
236,PE-LD,0.003741336,0.003289996,0.00163389,2.67E-06,0.001504608,0.029338339,-0.167776562,-0.194623027,0.271510657,0.073718037,0.350529749,1.753603149
237,PE-LD,0.003712666,0.003259476,0.001634769,2.67E-06,0.001503082,0.029294085,-0.162596294,-0.188700564,0.273457955,0.074779253,0.354349881,1.761211409
238,PE-LD,0.003621485,0.003169444,0.001638601,2.69E-06,0.00150766,0.029498566,-0.152425971,-0.177479892,0.279047572,0.077867547,0.364339965,1.771346352
239,PE-LD,0.003635758,0.003183178,0.00163971,2.69E-06,0.001510712,0.029443631,-0.154069708,-0.179307828,0.278389607,0.077500773,0.363243724,1.774375653
